Search keyword report
"August 8, 2020 - August 14, 2020"
Device,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Max. CPC,Impr.,Impr. (Top) %,Search impr. share,Search top IS,Cost,Clicks,Conversions,Click share,Match type,Search exact match IS,Search lost top IS (rank)
Mobile phones,Enabled,[DRIVER MONITORING SYSTEM],M7M2-DRIVER,e--m-driver monitoring system-Google,USD,Campaign paused,5.00,1,100.00%,100.00%,100.00%,1.47,1,0.00,62.38%,Exact match, --,0.00%
TV screens,Enabled, +DRIVER +DISPATCHING,M7M2-DRIVER,b--c-driver dispatching-Google,USD,Campaign paused,10.52,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DRIVER +DISPATCHING,M7M2-DRIVER,b--c-driver dispatching-Google,USD,Campaign paused,10.52,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +DISPATCHING,M7M2-DRIVER,b--c-driver dispatching-Google,USD,Campaign paused,10.52,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DRIVER +DISPATCHING,M7M2-DRIVER,b--c-driver dispatching-Google,USD,Campaign paused,10.52,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DRIVER +DISPATCHING,M7M2-DRIVER,b--c-driver dispatching-Google,USD,Campaign paused,10.52,22,95.45%,62.86%,60.00%,6.22,2,0.00,63.55%,Broad match, --,40.00%
TV screens,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--m-driver tracking app-Google,USD,Campaign paused,2.00,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--m-driver tracking app-Google,USD,Campaign paused,2.00,9,88.89%,19.15%,17.02%,1.60,1,0.00,24.72%,Broad match, --,82.98%
Computers,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--m-driver tracking app-Google,USD,Campaign paused,2.00,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--m-driver tracking app-Google,USD,Campaign paused,2.00,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DRIVER +TRACKING +APP,M7M2-DRIVER,b--m-driver tracking app-Google,USD,Campaign paused,2.00,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
